"The present invention relates to a polypropylene-polylactic acid composite composition comprising a mixture of polypropylene resin and polylactic acid resin, wherein ethylene-octene copolymer grafted by anhyrdrous maleic acid, polylactic acid resin grafted by anhydrous maleic acid, polyethylene-glycidyl methacrylate resin and talc particles are added thereto. The composition reduces CO.sub.2 emission and improve mechanical strength and heat resistance, thereby being suitable as a material for the interior and exterior parts of a vehicle as well as construction.",aplicação
"The present invention is directed to stable lactide particles, more specifically lactide particles which are stable enough to be stored and transported at room temperature and have a quality high enough for use as starting material for polylactic acid. The lactide particles have a surface/volume ratio of the particle is lower than 3000. Preferably the lactide in the particle has an optical purity of at least 95%. The lactide particles are prepared by subjecting lactide to a shaping step comprising extrusion, pastillation, prilling, tabletting, or flaking.",processo de fabricação do polímero
"A film that contains a core layer positioned adjacent to an outer layer is provided. The core layer contains a relatively high percentage of thermoplastic biopolymers that are both biodegradable and renewable. Despite being biodegradable and renewable, many biopolymers tend to be relatively stiff in nature. The present inventors have discovered, however, that through selective control over the components in the core and outer layers, a film can be readily formed having good mechanical properties. Among other things, this is accomplished by blending the biopolymer in the core layer with a polyolefin. A polyolefin is also employed in the outer layer. In addition to providing functionality to the film (e.g., heat sealing, printing, etc.), the polyolefin-containing outer layer also helps counteract the stiffness of the biopolymer in the core layer, and helps improve processability, stiffness, and ductility.",produto
"The invention relates to a packaging article for use in form-fill-seal, flow wrap and lidding. In particular, the invention concerns such an article sealed with a biodegradable film having a peel sealable coating thereon, and coated filmic lids for sealing polylactic acid (PLA) trays and specifically PLA trays used for packaging.",aplicação
"It is an object of the present invention to produce a polylactic acid having a high molecular weight such as a weight average molecular weight (Mw) of more than 100,000 from which only a stereocomplex crystal is grown even by repeating melting and crystallization. The present invention is a process of producing a polylactic acid, including the steps of: (i) obtaining a solid by kneading together poly(L-lactic acid) and poly(D-lactic acid) at a temperature of 160 to 225.degree. C. and crystallizing the kneaded product; and (ii) melt kneading the obtained solid.",processo de fabricação do polímero
"A plastic formed article comprising a plastic substrate and a vapor deposited film formed on the surface of the plastic substrate by a plasma CVD method, wherein the vapor deposited film includes an organometal vapor deposited layer having an element ratio C/Si of 2.5 to 13 and an element ratio O/M of not larger than 0.5, and a hydrocarbon vapor deposited layer; and the hydrocarbon vapor deposited layer has a thickness in a range of 40 to 180 nm, exhibits peaks stemming from CH, CH.sub.2 and CH.sub.3 over a region of wave numbers of 3200 to 2600 cm.sup.-1 as measured by FT-IR, and has a CH.sub.2 ratio of not larger than 35% and a CH.sub.3 ratio of not less than 40%. A film is deposited on a plastic formed article without deteriorated by oxidation, without thermally deformed or without thermally deteriorated not only when PET or polyolefin is used but also when polylactic acid is used as the plastic substrate.",produto
"The presently disclosed and claimed inventive concept(s) relates generally to liquid-based coatings for writable-erasable surfaces, products that include such coatings, and methods for making and using the same.",aplicação
"The present invention is directed to rubbery block polymers containing a polylactone, such as polycaprolactone, methods of making the same, and to rubber compounds containing those block polymers. The rubbery block polymer is an anionically polymerized block polymer defined by A-B, wherein A includes at least one type of polymerized conjugated diene monomer, a polymerized vinyl aromatic monomer, or a mixture thereof and wherein B is a polylactone, such as polycaprolactone, which is hydroxy terminated. The rubbery block polymer may be compounded so to provide, for example, a tire tread with desirable properties for use in an automobile tire. Such rubber compound, for example, can include the rubbery block polymer, an organosilane coupling agent, such as a bis(trialkoxysilyl) alkane, bis(trialkoxysilylalkyl) polysulfide, or mixtures thereof, and silica filler in specified amounts.",produto
"Monomer addition methodology is provided to adjust monomer addition rates to a polymerization reactor. Advantages of the invention include control of bioabsorbable copolymer structure, improvement of monomer conversion, control of reaction temperature, and reduced reaction time. The overall result is an improved process and enhanced product performance. The technology is particularly useful in the copolymerization of monomers with different reactivity ratios, such as glycolide/lactide copolymers and glycolide/caprolactone copolymers. Monomer reactivity ratios and reaction kinetics are utilized to adjust monomer addition rates.",processo de fabricação do polímero
"A degradable copolymer filament comprising an internal structure having the following separate phases: (a) a matrix phase comprised as a primary component of a polymer segment which exhibits a tensile Young's modulus of 2 GPa or less and a strength retention of 50% or more after two weeks in water at 37.degree. C., pH 7.3, and (b) a micro-dispersed phase comprised as a primary component of a polymer segment which exhibits a tensile strength of 200 MPa or more and a strength reduction greater than the matrix phase in water at 37.degree. C., pH 7.3. The weight ratio of each component in the matrix phase and dispersed phase is 50:50 to 95:5, respectively, and the dispersed phase a needle structure oriented by stretching in the fiber direction. A degradable monofilament having an excellent mechanical strength and flexibility, moderate hydrolyzability, high ligature stability and being suitable as a material of surgical absorbable suture can be obtained. A preparation process is also provided.",aplicação
"The invention relates to a method for preparing a biodegradable aliphatic polyester, which comprises polymerization of a precursor of the polyester in the presence of a polyesterification catalyst in an amount of up to 0.1% by weight, based on the weight of the cyclic precursor, and a co-catalyst comprising glycerol or butyrolactone in a weight proportion of not more than three times that of the catalyst. The invention also relates to the use of the resulting biodegradable aliphatic polyester in polymer processing, such as injection molding or compression/press molding.",produto
Provided is a polylactic acid resin composition which has excellent flexibility and heat resistance without decreasing a biomass degree. The polylactic acid resin composition includes a polylactic acid and a branched polylactic acid having at least three branched chains composed of a polylactic acid in the molecule can be obtained. This polylactic acid resin composition is very superior due to the following reasons: the resin composition has excellent flexibility because plasticization is accelerated; the resin composition has excellent heat resistance because crystallization is accelerated; and the resin composition is effective in protection of the global environment and measures against fossil resource depletion because the resin composition is derived from a recyclable resource.,produto
"A two-layer external breast prosthesis comprising a first inner layer comprised of a self-shaping dispersion and a second outer layer comprised of an elastic material, wherein the second outer layer is relatively stiffer than the first inner layer.",aplicação
"Sutures fabricated from and/or coated with compositions including water-soluble glass are described herein. Pledgets containing water-soluble glass within the interstices of the pledget and/or coated with compositions including water-soluble glass are also described herein. The water-soluble glass optionally includes a therapeutic agent, e.g., silver to promote wound repair.",aplicação
"A degradable container which is excellent in transparency and impact      strength and can be decomposed into nontoxic water and carbon dioxide in      the natural environment within a relatively short period can be obtained      by using the process for molding a container of an arbitrary shape from a      thermoplastic composition having polylactic acid of lactic acids or a      copolymer of lactic acids and other hydroxycarboxylic acids as a main      component, preforming the composition and thereafter molding the container      in a temperature range from Tg to Tg+60.degree. C. on the basis of the      glass transition temperature Tg of the thermoplastic polymer composition      and under the condition of a draw ratio of 6 times or less.",produto
